"id","review","book_name","recap","date","rate","author","url"
1,"An enduring classic about human nature","The Catcher in the Rye","A story of teenage alienation and search for identity","2024-01-01",9,"J.D. Salinger","https://covers.openlibrary.org/b/isbn/9780606048873-L.jpg"
2,"Deeply moving and poignant","To Kill a Mockingbird","A powerful critique of racial injustice in the American South","2024-01-15",10,"Harper Lee","https://covers.openlibrary.org/b/isbn/9780099466260-L.jpg"
3,"Haunting and provocative","1984","A dystopian novel exploring the dangers of totalitarianism","2024-02-01",9,"George Orwell","https://covers.openlibrary.org/b/isbn/9781408294222-L.jpg"
4,"Charming and witty","Pride and Prejudice","A romantic novel set in Victorian England focusing on manners and courtship","2024-02-15",9,"Jane Austen","https://covers.openlibrary.org/b/isbn/9781721234882-L.jpg"
5,"Magical and captivating","Harry Potter and the Sorcerer's Stone","A young boy discovers his wizarding heritage and attends a magical school","2024-03-01",10,"J.K. Rowling","https://covers.openlibrary.org/b/isbn/0439286239-L.jpg"
6,"Inspirational and beautifully written","The Alchemist","A shepherd's journey to find his Personal Legend and a treasure","2024-03-15",8,"Paulo Coelho","https://covers.openlibrary.org/b/isbn/9789727110117-L.jpg"
7,"Intense and thought-provoking","The Book Thief","A young girl's experience in Nazi Germany, narrated by Death","2024-04-01",9,"Markus Zusak","https://covers.openlibrary.org/b/isbn/9788483468807-L.jpg"
8,"Epic and sweeping","Gone with the Wind","A romantic drama set against the backdrop of the American Civil War","2024-04-15",8,"Margaret Mitchell","https://covers.openlibrary.org/b/isbn/9785699397327-L.jpg"
9,"Profoundly insightful","Lord of the Flies","A tale of a group of boys stranded on an island and their descent into savagery","2024-05-01",7,"William Golding","https://covers.openlibrary.org/b/isbn/9784871876902-L.jpg"
10,"Timelessly captivating","The Great Gatsby","An exploration of the American Dream in the Roaring Twenties","2024-05-15",9,"F. Scott Fitzgerald","https://covers.openlibrary.org/b/isbn/9798445473268-L.jpg"
